1.28	1.6	10.36	7.3	10.01616097	14.2337958
1.5	1.32	10.96	3.93	11.87624391	12.86583797
2.7	2.65	8.68	2.95	14.13823818	4.440306662
2.44	1.13	8.84	4.96	14.89246939	11.75276302
2.38	2.76	12.25	4.45	10.13992083	10.80937435
2.58	2.35	11.94	4.6	1.977449734	14.19986296
4.23	3.09	11.72	6.88	0.359265352	7.07559632
3.64	0.96	9.75	3.27	10.97746464	6.877797302
4.59	3.35	9.65	5.2	8.072644109	12.87624584
0.59	4.43	7.49	4.84	10.75238753	0.341983303
2.36	1.05	8.43	5.58	4.086032634	12.74566752
1.38	3.35	10.75	4.52	12.35180334	0.869456407
4.6	2.49	9.73	6.4	4.558448839	2.910569964
4.67	1.83	9.06	5.42	4.81487272	11.27355174
1.97	5.44	11.98	6.09	4.623725896	3.554967835
3.46	3.74	11.83	3.82	7.796784961	9.281567565
0.54	3.07	9.29	7.58	2.370625494	9.593901368
3.98	2.01	12.66	5.59	6.027348736	14.74822149
3.39	2.37	13.01	6.99	3.723461778	1.468348622
0.8	1.17	10.12	9.41	3.163058844	9.229167668
2.65	3.23	10.84	7.5	7.939039207	2.375036642
0.26	3.75	9.77	5.21	11.38017368	5.676552114
4	1.69	11.62	7.48	10.68957816	9.591553245
2.16	5.25	11.11	3.4	9.700192603	9.00241331
2.51	2.39	10.23	3.98	13.3929454	14.25306971
3.21	3.65	10.64	6.84	1.474590046	10.67991019
1.15	3.83	7.32	5.39	10.32821465	9.278921529
3.85	4.41	11.9	8.61	10.01308776	2.310164224
3.31	5.1	11.4	3.35	13.27055852	11.65266666
1.13	3.96	10.66	4.57	2.322792924	8.757238096
3.22	1.29	9.73	4.84	5.282490651	1.238204806
2.49	1.54	9.95	5.93	5.525365981	11.73540389
4.25	2.41	9.4	9.18	14.32973611	4.706500765
4.77	2.12	11.13	4.24	11.16793109	0.493804796
2.54	5	10.49	7.9	9.474134977	13.66411477
2.53	5.46	8.61	5.43	2.220932635	10.63249512
4.77	2.54	11.76	5.88	13.90386753	11.19332195
0.54	3.42	9.61	4.78	11.55976047	0.21496687
2.97	2.19	12.87	6.9	8.242152982	12.6387516
0.87	4.09	11.51	6.78	4.265265713	2.06261048
3.56	1.6	8.51	4.68	8.345411268	4.012868588
1.42	1.64	8.79	7.33	5.523990482	0.721425894
3.93	3.61	11.66	7.81	11.43361128	6.955069195
2.26	1.43	8.43	3.27	11.269441	12.18798878
3.72	4.21	6.83	4.99	7.425193255	6.960056926
0.16	2.7	11.13	4.98	14.16093788	11.63415255
1.06	1.64	7.23	6.83	10.60667859	5.974051533
